date,USD.EUR,CAD.EUR,GBP.EUR,HKD.EUR,JPY.EUR
2022-08-01,1.0233,1.3076,0.837,8.0329,135.38
2022-09-01,1.0004,1.3169,0.86473,7.8511,139.34
2022-10-01,0.9748,1.3401,0.883,7.6521,141.01
2022-11-01,0.9947,1.3469,0.86058,7.8079,146.35
2022-12-01,1.0454,1.4059,0.85715,8.1371,142.48
2023-01-01,1.0666,1.444,0.88693,8.3163,140.66
2023-02-01,1.0894,1.4506,0.88413,8.5444,141.37
2023-03-01,1.0684,1.4531,0.88574,8.3866,144.82
2023-04-01,1.0875,1.4737,0.8792,8.5367,144.83
2023-05-01,1.0981,1.4981,0.8805,8.6199,149.35
2023-06-01,1.0697,1.4514,0.85823,8.3786,149.25
2023-07-01,1.0866,1.4415,0.85828,8.5157,157.16
2023-08-01,1.097,1.4569,0.85865,8.5508,156.85
2023-09-01,1.0844,1.4656,0.85538,8.5068,157.47
2023-10-01,1.0594,1.4227,0.86458,8.2959,158.1
2023-11-01,1.0537,1.461,0.86945,8.2436,159.33
2023-12-01,1.0875,1.4736,0.86045,8.497,161.14
2024-01-01,1.105,1.4642,0.86905,8.6314,156.33
2024-02-01,1.0814,1.4544,0.85353,8.4563,158.96
2024-03-01,1.0813,1.4679,0.85588,8.465,162.82
2024-04-01,1.0811,1.4672,0.8551,8.4594,163.45
2024-05-01,1.0718,1.4672,0.85478,8.3817,168.27
2024-06-01,1.0852,1.4804,0.85365,8.4838,170.52
2024-07-01,1.0745,1.4711,0.8479,8.3945,173.15
2024-08-01,1.0789,1.4912,0.84328,8.432,162.66
2024-09-01,1.1087,1.4941,0.8412,8.6455,161.19
2024-10-01,1.1086,1.4986,0.83193,8.6181,159.37
2024-11-01,1.0885,1.5144,0.83998,8.466,165.54
2024-12-01,,,,,
